"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","MFG","MFG PN","Supplier","Supplier PN","Part Description"
"C1,C7,C8,C9,C12,C15,C16,C17,C20,C23,C24,C25,C28,C32,C37,C38,C42","17","100nF","","","","Samsung","CL10B104KB8NNWC","Digikey","1276-1935-1-ND","CAP, 100nF, 50V, X7R, 10%, 0603"
"C2,C3,C41","3","1uF","","","","TDK","C1608X7R2A105K080AC","Digikey","445-C1608X7R2A105K080ACCT-ND","CAP, 1uF, 100V, X7R, 10%, 0603"
"C4","1","4.7uF","","","","Murata","GRM31CR71H475KA12K","Digikey","490-GRM31CR71H475KA12KCT-ND","CAP, 4.7uF, 50V, X7R, 10%, 1206"
"C5,C6,C13,C14,C21,C22,C29,C30,C31,C40","10","10uF","","","","Murata","GRM188R61E106KA73D","Digikey","490-18214-1-ND","CAP, 10uF, 25V, X5R, 10%, 1206"
"C10,C11,C18,C19,C26,C27,C43,C44,C45,C46","10","22uF","","","","Samsung","CL32A226KAJNNNE","Digikey","1276-1101-1-ND","CAP, 22uF, 25V, X5R, 10%, 1210"
"C33","1","4.7nF","","","","Yageo","CC0603KRX7R9BB472","Digikey","311-1083-1-ND","CAP, 4.7nF, 50V, X7R, 10%, 0603"
"C34,C35,C36,C39","4","10pF","","","","Yageo","CC0603JRNPO9BN100","Digikey","311-1058-1-ND","CAP, 10pF, 50V, C0G, 5%, 0603"
"D1,D7,D8,D9,D10","5","GRN","","","","Kingbright","APT1608SGC","Digikey","754-1121-1-ND","LED, GRN, 2.2V, 0603"
"D2","1","YEL","","","","Kingbright","APT1608YC","Digikey","754-1125-1-ND","LED, YELLOW, 2.1V, 0603"
"D3","1","BLUE","","","","Kingbright","APT1608QBC/D","Digikey","754-1434-1-ND","LED, BLUE, 3.3V, 0603"
"D4,D5","2","ESDA25P35","","","","STMicro","ESDA25P35-1U1M","Digikey","497-16913-1-ND","D, TVS, 31V, 35A, 1610"
"D6","1","ESDA25W","","","","STMicro","ESDA25W","Digikey","497-6689-1-ND","D, ESD, SOD-323"
"D11","1","SL03","","","","Vishay","SL03-GS08","Digikey","SL03-GS08CT-ND","D, SCHOTTKY, 30V, 1.1A, DO-219AB"
"J1","1","USB2.0 TYP C 16P","","","","GCT","USB4105-GF-A","Digikey","2073-USB4105-GF-ACT-ND","CONN, USB C, 2.0, 16P"
"J2","1","8P Header","","","","JST","B8B-XH-A","Digikey","455-B8B-XH-A-ND","CONN, HEADER, VERT, 8P, TH, 2.5MM "
"J3,J4,J5,J6","4","2P","","","","","","","","CONN, HEADER, 2P, TH, 2.54MM"
"J8","1","3P Header","","","","JST","B3B-XH-A","Digikey"," 455-2248-ND","CONN, HEADER, VERT, 3P, TH, 2.5MM"
"J9","1","5P Header","","","","JST","B5B-XH-A","Digikey","455-B5B-XH-A-ND","CONN, HEADER, VERT, 5P, TH, 2.5MM"
"L1","1","4.7uH","","","","Coilcraft","XAL4030-472MEC","Mouser","994-XAL4030-472MEC","IND, 4.7uH, 4.6A, 40.1m, 20%, 1616"
"L2,L3","2","6.8uH","","","","Coilcraft","XEL4030-682MEC","Digikey","2457-XEL4030-682MEC-ND","IND, 6.8uH, 3.6A, 67.4m, 20%, 1616"
"L4","1","33uH","","","","Coilcraft","LPS6235-333MRC","Mouser","994-LPS6235-333MRC","IND, 33uH, 1.3A, 180m, 20%, 2424"
"Q1","1","STL6P3LLH6","","","","STMicro","STL6P3LLH6","Digikey","497-15315-1-ND","IC, SMD, PMOS, 30V, 6A"
"R1,R32,R36","3","100k","","","","Yageo","RC0603FR-07100KL","Digikey","311-100KHRCT-ND","RESIST, 100k, 1/10W, 1%, 0603"
"R2,R6,R7,R8,R28,R29","6","22k","","","","Yageo","RC0603FR-0722KL","Digikey","311-22.0KHRCT-ND ","RESIST, 22k, 1/10W, 1%, 0603"
"R3,R5","2","1k","","","","Yageo","RC0603FR-071KL","Digikey","311-1.00KHRCT-ND","RESIST, 1k, 1/10W, 1%, 0603"
"R4,R33","2","100","","","","Yageo"," RC0603FR-07100RL","Digikey","311-100HRCT-ND","RESIST, 100, 1/10W, 1%, 0603"
"R9,R18,R21,R22,R35","5","10k","","","","Yageo","RC0603FR-0710KL","Digikey","311-10.0KHRCT-ND","RESIST, 10k, 1/10W, 1%, 0603"
"R10,R13,R17,R25,R26,R27,R37,R38","8","0","DNP","","","Panasonic","‎ERJ-3GEY0R00V‎","Digikey","‎P0.0GCT-ND‎","RESIST, 0, 1/10W, 0603"
